water	phosplipid_fatt_acid	phospholipid fatty acid	concentration of phospholipid fatty acids; can include multiple values	X	phospholipid fatty acid name;measurement value	{text};{float} {unit}	m
water	photon_flux	photon flux	measurement of photon flux	X	measurement value	{float} {unit}	1
water	potassium	potassium	concentration of potassium 	X	measurement value	{float} {unit}	1
water	pressure	pressure	pressure to which the sample is subject, in atmospheres	X	measurement value	{float} {unit}	1
water	primary_prod	primary production	measurement of primary production 	X	measurement value	{float} {unit}	1
water	redox_potential	redox potential	redox potential, measured relative to a hydrogen cell, indicating oxidation or reduction potential	X	measurement value	{float} {unit}	1
water	salinity	salinity	salinity measurement	X	measurement value	{float} {unit}	1
water	samp_store_dur	sample storage duration	duration for which sample was stored	X	time interval	{interval}	1
water	samp_store_loc	sample storage location	location at which sample was stored, usually name of a specific freezer/room	X	location name	{text}	1
water	samp_store_temp	sample storage temperature	temperature at which sample was stored, e.g. -80	X	measurement value	{float} {unit}	1
water	silicate	silicate	concentration of silicate	X	measurement value	{float} {unit}	1
water	sodium	sodium	sodium concentration	X	measurement value	{float} {unit}	1
water	soluble_react_phosp	soluble reactive phosphorus	concentration of soluble reactive phosphorus	X	measurement value	{float} {unit}	1
water	sulfate	sulfate	concentration of sulfate	X	measurement value	{float} {unit}	1
water	sulfide	sulfide	concentration of sulfide	X	measurement value	{float} {unit}	1
water	suspend_part_matter	suspended particulate matter	concentration of suspended particulate matter	X	measurement value	{float} {unit}	1
water	temp	temperature	temperature of the sample at time of sampling	X	measurement value	{float} {unit}	1
water	tidal_stage	tidal stage	stage of tide	X	enumeration	[low|high]	1
water	tot_depth_water_col	total depth of water column	measurement of total depth of water column	X	measurement value	{float} {unit}	1
water	tot_diss_nitro	total dissolved nitrogen	total dissolved nitrogen concentration, reported as nitrogen, measured by: total dissolved nitrogen = NH4 + NO3NO2 + dissolved organic nitrogen	X	measurement value	{float} {unit}	1
water	tot_inorg_nitro	total inorganic nitrogen	total inorganic nitrogen content	X	measurement value	{float} {unit}	1
water	tot_nitro	total nitrogen	total nitrogen concentration, calculated by: total nitrogen = total dissolved nitrogen + particulate nitrogen. Can also be measured without filtering, reported as nitrogen	X	measurement value	{float} {unit}	1
water	tot_part_carb	total particulate carbon	total particulate carbon content	X	measurement value	{float} {unit}	1
water	tot_phosp	total phosphorus	total phosphorus concentration, calculated by: total phosphorus = total dissolved phosphorus + particulate phosphorus. Can also be measured without filtering, reported as phosphorus	X	measurement value	{float} {unit}	1
